"date";"category";"value"
"2025-02-01";"Строительство";215736.9511
"2025-02-01";"Торговля";444394.8132
"2025-02-01";"Транспортировка и хранение";306206.07
"2025-02-01";"Услуги ЖКХ";113919.6516
"2025-02-01";"Финансы и страхование";183909.3563
"2025-01-01";"Административная деятельность";95233.666
"2025-01-01";"Водоснабжение";37923.9311
"2025-01-01";"Все отрасли";3874115.408699
"2025-01-01";"Гостиницы и общепит";46275.8226
"2025-01-01";"Государственное управление и военная безопасность";234004.2844
"2025-01-01";"Деятельность в области информации и связи";244690.3878
"2025-01-01";"Добыча полезных ископаемых";165135.4827
"2025-01-01";"Здравоохранение";320735.5261
"2025-01-01";"Научная и профессиональная деятельность";260282.774699
"2025-01-01";"Обрабатывающие производства";672307.8269
"2025-01-01";"Образование";301011.8003
"2025-01-01";"Операции с недвижимостью";74222.4317
"2025-01-01";"Прочие услуги";17040.1417
"2025-01-01";"Сельское хозяйство";79922.2658
"2025-01-01";"Спорт и досуг";65241.4392
"2025-01-01";"Строительство";204865.7416
"2025-01-01";"Торговля";451844.733
"2025-01-01";"Транспортировка и хранение";316297.9837
"2025-01-01";"Услуги ЖКХ";118309.6612
"2025-01-01";"Финансы и страхование";168707.184
"2024-12-01";"Административная деятельность";118649.8161
"2024-12-01";"Водоснабжение";41004.8737
"2024-12-01";"Все отрасли";5558430.758599
"2024-12-01";"Гостиницы и общепит";50455.9649
"2024-12-01";"Государственное управление и военная безопасность";540972.5007
"2024-12-01";"Деятельность в области информации и связи";393866.870399
"2024-12-01";"Добыча полезных ископаемых";273441.6447
"2024-12-01";"Здравоохранение";400228.6523
"2024-12-01";"Научная и профессиональная деятельность";449555.4933
"2024-12-01";"Обрабатывающие производства";799714.8245
"2024-12-01";"Образование";420436.8578
"2024-12-01";"Операции с недвижимостью";98284.6395
"2024-12-01";"Прочие услуги";31054.5648
"2024-12-01";"Сельское хозяйство";94552.5609
"2024-12-01";"Спорт и досуг";95613.0817
"2024-12-01";"Строительство";253316.7503
"2024-12-01";"Торговля";536038.9143
"2024-12-01";"Транспортировка и хранение";374723.4045
"2024-12-01";"Услуги ЖКХ";149553.2286
"2024-12-01";"Финансы и страхование";436802.6566
"2024-11-01";"Административная деятельность";84585.569
"2024-11-01";"Водоснабжение";33670.197799
"2024-11-01";"Все отрасли";3726990.529296
"2024-11-01";"Гостиницы и общепит";40415.4069
"2024-11-01";"Государственное управление и военная безопасность";248291.5775
"2024-11-01";"Деятельность в области информации и связи";236388.9755
"2024-11-01";"Добыча полезных ископаемых";163950.4257
"2024-11-01";"Здравоохранение";292564.852199
"2024-11-01";"Научная и профессиональная деятельность";261542.0606
"2024-11-01";"Обрабатывающие производства";634037.3106
"2024-11-01";"Образование";307328.880399
"2024-11-01";"Операции с недвижимостью";67374.989799
"2024-11-01";"Прочие услуги";16366.7395
"2024-11-01";"Сельское хозяйство";76776.771
"2024-11-01";"Спорт и досуг";64633.011
"2024-11-01";"Строительство";212380.8649
"2024-11-01";"Торговля";414716.1746
"2024-11-01";"Транспортировка и хранение";292059.3997
"2024-11-01";"Услуги ЖКХ";110973.3385
"2024-11-01";"Финансы и страхование";168864.1835
"2024-10-01";"Административная деятельность";84614.2836
"2024-10-01";"Водоснабжение";34412.739299
"2024-10-01";"Все отрасли";3728557.808196
"2024-10-01";"Гостиницы и общепит";40533.2521
"2024-10-01";"Государственное управление и военная безопасность";248755.4519
"2024-10-01";"Деятельность в области информации и связи";233499.9264
"2024-10-01";"Добыча полезных ископаемых";158142.9741
"2024-10-01";"Здравоохранение";288223.0897
"2024-10-01";"Научная и профессиональная деятельность";266208.875599
"2024-10-01";"Обрабатывающие производства";639887.8135
"2024-10-01";"Образование";299550.5431
"2024-10-01";"Операции с недвижимостью";68482.5272
"2024-10-01";"Прочие услуги";16300.1008
"2024-10-01";"Сельское хозяйство";82236.747599
"2024-10-01";"Спорт и досуг";61613.314399
